Zipcode,lat,lon
02128,42.377941370370365,-71.024882
02129,42.37641816,-71.06573748
02130,42.308089233333334,-71.11356306666667
02131,42.28597320000001,-71.12134693333334
02132,42.27867347058824,-71.1613994117647
02134,42.35872646153847,-71.12453861538461
02135,42.35187526315789,-71.15250957894737
02136,42.25213772222222,-71.12497444444445
02138,42.376522692307695,-71.13166707692307
02139,42.362475545454544,-71.10478236363636
02140,42.398938333333334,-71.13978100000001
02141,42.3698855,-71.066904
02142,42.361557,-71.07950199999999
02143,42.37942442857143,-71.0819357142857
02144,42.40783855555556,-71.13042444444444
02145,42.39141405555555,-71.08440527777778
02148,42.4328815,-71.06371100000001
02149,42.403356571428574,-71.0560869047619
02150,42.39749084210526,-71.03355802631579
02151,42.42032490625,-71.01018759375
02152,42.375626,-70.970886
02155,42.418026316455695,-71.10140060759493
02163,42.37019,-71.126648
02169,42.24160680254265,-71.02850552326746
02170,42.2679355,-71.01295275000001
02171,42.28223333333333,-71.030843
02176,42.458967,-71.06665033333333
02180,42.47509872727273,-71.1061349090909
02184,42.22013049685185,-71.01965855537037
02186,42.256063794246614,-71.06111050516292
02188,42.196287749999996,-70.957520875
02190,42.1713402,-70.9521482
02191,42.24316,-70.94901999999998
02199,42.34724033333334,-71.07993333333333
02210,42.34798676470588,-71.04451494117647
02215,42.348174178571426,-71.09960978571429
02301,42.081586321428574,-71.0512709642857
02302,42.0815085,-70.998506
02322,42.123360000000005,-71.0588706
02324,41.96189042857143,-71.0184282142857
02330,41.834019,-70.742989
02332,42.043479999999995,-70.72444255172412
02333,42.025646,-70.927975
02338,41.992079,-70.85435500000001
02339,42.13618392307693,-70.84430584615384
02341,42.06211833333333,-70.875455
02343,42.14235111111111,-71.00924855555556
02346,41.88337805882353,-70.91518817647058
02347,41.8037475,-70.96165850000001
02351,42.12153010344827,-70.9552794137931
02356,42.05748750000001,-71.10361500000002
02359,42.092031375,-70.77810625
02360,41.909200923076924,-70.652187
02364,41.9986856,-70.73453839999999
02367,41.954709,-70.79722799999999
02368,42.20036194444444,-71.07560458333334
02370,42.1477838,-70.90303164
02375,42.024761,-71.067337
02379,42.01735080133316,-71.04097337721501
02382,42.08184975,-70.9332465
02420,42.4697834,-71.23886053333332
02421,42.43235055125153,-71.24621152898862
02445,42.33324225,-71.121355
02446,42.346848333333334,-71.11279066666668
02451,42.40303635714286,-71.2536895
02452,42.38868407692308,-71.22848461538462
02453,42.37139203125,-71.25666996875
02458,42.356088785714284,-71.18403435714286
02459,42.31541055555556,-71.19441488888889
02460,42.351631714285716,-71.207634
02461,42.31922166666667,-71.20601666666666
02462,42.329720631578944,-71.25342731578947
02464,42.314887999999996,-71.2222825
02465,42.349012125,-71.22966743750001
02466,42.342271,-71.25354349999999
02467,42.319137545454545,-71.16351718181818
02468,42.3277435,-71.22873299999998
02472,42.372068375,-71.18708149999999
02474,42.40041033333333,-71.15071966666666
02476,42.410895249999996,-71.15869550000001
